Date,NVDA,Nasdaq,AMD,META,GOOGL,GOOG,TSLA,MSFT,AMZN,AAPL,INTC,AVGO
2023-02-09,22.317161560058594,11789.580078125,83.20999908447266,176.94923400878906,94.4435806274414,94.89592742919922,207.32000732421875,258.37017822265625,98.23999786376953,148.940673828125,27.065242767333984,57.51838684082031
2023-02-10,21.246112823486328,11718.1201171875,81.4800033569336,173.19979858398438,94.00621032714844,94.29946899414062,196.88999938964844,257.8605651855469,97.61000061035156,149.3065185546875,27.133562088012695,56.92728042602539
2023-02-13,21.768648147583008,11891.7900390625,83.12999725341797,178.4509735107422,94.04597473144531,94.43863677978516,194.63999938964844,265.9168701171875,99.54000091552734,152.11447143554688,27.865583419799805,57.68247604370117
2023-02-14,22.950597763061523,11960.150390625,85.94999694824219,178.500732421875,94.11557006835938,94.3889389038086,209.25,266.7499694824219,99.69999694824219,151.4718475341797,27.95342254638672,57.79665756225586
2023-02-15,22.74378204345703,12070.58984375,85.18000030517578,176.19338989257812,96.36209106445312,96.52622985839844,214.24000549316406,264.6178894042969,101.16000366210938,153.57778930664062,28.15839195251465,58.312923431396484
2023-02-16,21.982460021972656,11855.830078125,80.08000183105469,171.4991455078125,94.94060516357422,95.21403503417969,202.0399932861328,257.5729675292969,98.1500015258789,151.97605895996094,27.523975372314453,57.62681579589844
2023-02-17,21.369003295898438,11787.26953125,78.5,171.93673706054688,93.78752136230469,94.03106689453125,208.30999755859375,253.55442810058594,97.19999694824219,150.8291473388672,26.948118209838867,57.15182113647461
2023-02-21,20.636655807495117,11492.2998046875,76.7699966430664,171.14111328125,91.24279022216797,91.50607299804688,197.3699951171875,248.25852966308594,94.58000183105469,146.80506896972656,25.43527603149414,55.80360794067383
2023-02-22,20.73556900024414,11507.0703125,76.61000061035156,170.18634033203125,91.10362243652344,91.25755310058594,200.86000061035156,247.1187744140625,95.79000091552734,147.23020935058594,24.85941505432129,55.28831100463867
2023-02-23,23.642982482910156,11590.400390625,79.75,171.101318359375,90.34815216064453,90.5318603515625,202.07000732421875,250.3218536376953,95.81999969482422,147.7146759033203,24.996063232421875,56.020477294921875
2023-02-24,23.26531982421875,11394.9404296875,78.08999633789062,169.4603271484375,88.59864044189453,88.822021484375,196.8800048828125,244.86875915527344,93.5,145.05502319335938,24.537330627441406,55.43993377685547
2023-02-27,23.480125427246094,11466.98046875,78.7699966430664,168.6149444580078,89.33424377441406,89.56759643554688,207.6300048828125,245.79237365722656,93.76000213623047,146.2513885498047,24.30307960510254,56.178802490234375
2023-02-28,23.19537925720215,11455.5400390625,78.58000183105469,173.98550415039062,89.5230941772461,89.76641082763672,205.7100067138672,245.06529235839844,94.2300033569336,145.7471160888672,24.33236312866211,57.02708053588867
2023-03-01,22.677841186523438,11379.48046875,78.29000091552734,172.4738006591797,89.8213119506836,89.97517395019531,202.77000427246094,241.97027587890625,92.16999816894531,143.67080688476562,24.722774505615234,56.957984924316406
2023-03-02,23.29329490661621,11462.98046875,80.44000244140625,173.57774353027344,91.45153045654297,91.76454162597656,190.89999389648438,246.7257843017578,92.12999725341797,144.26405334472656,25.571916580200195,57.44546127319336
2023-03-03,23.868783950805664,11689.009765625,81.5199966430664,184.23924255371094,93.0916976928711,93.46443176269531,197.7899932861328,250.83277893066406,94.9000015258789,149.32627868652344,25.767122268676758,60.71859359741211
2023-03-06,23.5330810546875,11675.740234375,81.16000366210938,183.89114379882812,94.5628662109375,95.01521301269531,193.80999755859375,252.3852081298828,93.75,152.09474182128906,25.3669490814209,60.73394775390625
2023-03-07,23.271268844604492,11530.330078125,82.11000061035156,183.50328063964844,93.30044555664062,93.61354064941406,187.7100067138672,249.71270751953125,93.55000305175781,149.88987731933594,24.917978286743164,59.98835372924805
2023-03-08,24.16362762451172,11576.0,85.37000274658203,183.9607696533203,93.68811798095703,94.09071350097656,182.0,249.2705535888672,93.91999816894531,151.14553833007812,25.357192993164062,60.67061996459961
2023-03-09,23.419160842895508,11338.349609375,84.02999877929688,180.6986846923828,91.76962280273438,92.11248016357422,172.9199981689453,247.91464233398438,92.25,148.89125061035156,25.806163787841797,59.73597717285156
2023-03-10,22.948497772216797,11138.8896484375,82.66999816894531,178.53054809570312,90.08970642089844,90.47222137451172,173.44000244140625,244.249755859375,90.7300033569336,146.8248291015625,26.56746482849121,58.99806213378906
2023-03-13,22.94949722290039,11188.83984375,82.01000213623047,179.91297912597656,90.56684112548828,91.11837768554688,174.47999572753906,249.48672485351562,92.43000030517578,148.77261352539062,26.303937911987305,59.15542984008789
2023-03-14,24.04570960998535,11428.150390625,87.44999694824219,192.96139526367188,93.4097900390625,93.69306945800781,183.25999450683594,256.2367858886719,94.87999725341797,150.86868286132812,27.338529586791992,60.6898078918457
2023-03-15,24.210594177246094,11434.0498046875,89.68000030517578,196.6710662841797,95.53702545166016,95.9794921875,180.4499969482422,260.80560302734375,96.19999694824219,151.26417541503906,27.728940963745117,60.07375717163086
2023-03-16,25.52264976501465,11717.2802734375,96.5999984741211,203.81187438964844,99.72193145751953,100.4727783203125,184.1300048828125,271.37774658203125,100.04000091552734,154.0919189453125,29.45650863647461,61.07748031616211
2023-03-17,25.706520080566406,11630.509765625,97.83999633789062,194.542724609375,101.01417541503906,101.85456085205078,180.1300048828125,274.55133056640625,98.94999694824219,153.25149536132812,29.095378875732422,60.54682540893555
2023-03-20,25.88139533996582,11675.5400390625,96.80999755859375,196.73072814941406,100.61656188964844,101.32769012451172,183.25,267.47705078125,97.70999908447266,155.62442016601562,28.46095848083496,61.769344329833984
2023-03-21,26.180179595947266,11860.1103515625,95.93000030517578,201.0570068359375,104.29450988769531,105.21458435058594,197.5800018310547,268.99993896484375,100.61000061035156,157.48321533203125,27.777738571166992,61.54124450683594
2023-03-22,26.448984146118164,11669.9599609375,97.58000183105469,198.7198028564453,102.75375366210938,103.60416412353516,191.14999389648438,267.5359802246094,98.69999694824219,156.0496063232422,27.455652236938477,60.977779388427734
2023-03-23,27.171464920043945,11787.400390625,100.27999877929688,203.16542053222656,104.97045135498047,105.63211059570312,192.22000122070312,272.812255859375,98.70999908447266,157.13714599609375,28.334077835083008,61.780941009521484
2023-03-24,26.759761810302734,11823.9599609375,97.94999694824219,204.88595581054688,104.81141662597656,105.43328094482422,190.41000366210938,275.6714172363281,98.12999725341797,158.44227600097656,28.65616798400879,61.485191345214844
